,001-L,001-R,002-L,002-R,003-L,003-R,004-L,004-R,005-L,005-R,006-L,006-R,007-L,007-R,008-L,008-R,009-L,009-R,010-L,010-R,011-L,011-R,012-L,012-R,013-L,013-R,014-L,014-R,015-L,015-R,016-L,016-R,017-L,017-R,018-L,018-R,019-L,019-R,020-L,020-R,021-L,021-R,022-L,022-R,023-L,023-R,024-L,024-R,025-L,025-R,026-L,026-R,027-L,027-R,028-L,028-R,029-L,029-R,030-L,030-R,031-L,031-R,032-L,032-R,033-L,033-R,034-L,034-R,035-L,035-R,036-L,036-R,037-L,037-R,038-L,038-R,039-L,039-R,040-L,040-R,041-L,041-R,042-L,042-R,043-L,043-R,044-L,044-R,045-L,045-R,046-L,046-R,047-L,047-R,048-L,048-R,049-L,049-R,050-L,050-R,051-L,051-R,052-L,052-R,053-L,053-R,054-L,054-R,055-L,055-R,056-L,056-R,057-L,057-R,058-L,058-R,059-L,059-R,060-L,060-R,061-L,061-R,062-L,062-R,063-L,063-R,064-L,064-R,065-L,065-R,066-L,066-R,067-L,067-R,068-L,068-R,069-L,069-R,070-L,070-R,071-L,071-R,072-L,072-R,073-L,073-R,074-L,074-R,075-L,075-R,,,,,
200,60.8525,60.4055,58.7355,58.9131,59.5192,59.7564,58.5082,59.4840,60.0857,59.8940,59.1122,59.4773,58.1661,59.1517,59.8969,60.3093,60.6022,60.8357,58.7314,56.7928,61.0951,60.8766,59.1899,59.2130,58.0866,58.1070,60.7217,60.8228,58.8693,59.3495,58.8821,59.3435,61.1377,61.5073,60.5700,60.7612,57.6915,57.6272,60.1206,58.7935,60.9150,58.7935,58.3393,57.9629,60.9089,61.2600,59.5842,60.7424,59.9686,59.8322,59.6472,59.4244,62.4926,61.1770,58.7028,58.5461,60.1491,59.5597,60.3255,58.8987,59.7161,59.0729,60.8519,61.5095,59.3735,59.9647,57.5532,57.5281,58.9524,56.3307,58.8863,57.7688,59.3924,59.8238,61.4583,60.3453,59.3690,58.5996,59.3403,59.7390,60.2794,61.1255,59.8491,60.4562,60.2054,61.2788,60.4992,59.4755,59.1847,57.8008,58.7477,57.3499,62.3821,62.2282,60.6590,60.0147,61.0769,60.8169,59.7738,57.6379,60.9214,59.3698,57.9762,58.6589,57.9447,57.7459,60.1881,58.7659,57.8558,58.2053,58.7777,59.5663,59.0878,57.8027,58.0974,58.4198,58.5012,58.2477,61.4903,62.9122,60.1814,59.4623,58.4070,58.5023,60.1217,61.2571,58.7052,58.0530,59.9526,59.3084,59.2161,60.5053,56.9634,57.5113,58.8894,58.2329,60.1320,61.0718,58.3613,58.0167,59.9459,59.6724,59.7961,59.7856,60.8553,61.4842,58.0045,57.4395,59.5602,58.9381,,,,,
300,60.9189,60.4752,58.7900,58.9703,59.5841,59.8207,58.5709,59.5476,60.1530,59.9583,59.1728,59.5425,58.2241,59.2122,59.9658,60.3752,60.6651,60.8981,58.7928,56.8545,61.1725,60.9495,59.2501,59.2714,58.1429,58.1631,60.7837,60.8937,58.9329,59.4129,58.9404,59.4040,61.2095,61.5839,60.6349,60.8303,57.7488,57.6875,60.1794,58.8530,60.9823,58.8530,58.3994,58.0204,60.9692,61.3221,59.6435,60.8020,60.0299,59.8957,59.7094,59.4840,62.5674,61.2442,58.7592,58.6027,60.2064,59.6199,60.3928,58.9620,59.7823,59.1383,60.9178,61.5701,59.4313,60.0274,57.6132,57.5892,59.0080,56.3882,58.9408,57.8228,59.4518,59.8819,61.5203,60.4091,59.4000,58.6582,59.3994,59.7956,60.3427,61.1897,59.9089,60.5145,60.2710,61.3479,60.5602,59.5342,59.2409,57.8539,58.8038,57.4086,62.4545,62.3019,60.7213,60.0750,61.1400,60.8791,59.8335,57.6988,60.9802,59.4306,58.0336,58.7191,58.0026,57.8043,60.2501,58.8289,57.9152,58.2610,58.8387,59.6213,59.1480,57.8590,58.1594,58.4848,58.5597,58.3024,61.5559,62.9796,60.2477,59.5228,58.4672,58.5619,60.1905,61.3213,58.7615,58.1069,60.0158,59.3709,59.2747,60.5632,57.0212,57.5692,58.9491,58.2913,60.1993,61.1366,58.4202,58.0759,60.0046,59.7330,59.8600,59.8441,60.9121,61.5469,58.0600,57.4940,59.6189,58.9940,,,,,
400,61.0113,60.5723,58.8659,59.0507,59.6745,59.9102,58.6583,59.6363,60.2467,60.0477,59.2577,59.6339,58.3051,59.2963,60.0617,60.4670,60.7531,60.9851,58.8785,56.9421,61.2799,61.0509,59.3339,59.3530,58.2215,58.2414,60.8700,60.9924,59.0217,59.5010,59.0219,59.4882,61.3093,61.6903,60.7255,60.9266,57.8286,57.7715,60.2614,58.9360,61.0761,58.9360,58.4834,58.1007,61.0535,61.4088,59.7263,60.8853,60.1155,59.9843,59.7960,59.5671,62.6715,61.3378,58.8377,58.6820,60.2863,59.7036,60.4863,59.0502,59.8746,59.2292,61.0098,61.6546,59.5120,60.1144,57.6965,57.6743,59.0857,56.4686,59.0169,57.8986,59.5349,59.9631,61.6071,60.4976,59.4433,58.7399,59.4821,59.8751,60.4307,61.2793,59.9923,60.5958,60.3626,61.4439,60.6453,59.6160,59.3193,57.9281,58.8825,57.4905,62.5557,62.4049,60.8072,60.1592,61.2282,60.9658,59.9168,57.7836,61.0621,59.5155,58.1133,58.8030,58.0834,57.8857,60.3369,58.9168,57.9981,58.3387,58.9241,59.6980,59.2317,57.9377,58.2462,58.5754,58.6411,58.3790,61.6474,63.0735,60.3401,59.6075,58.5510,58.6449,60.2858,61.4107,58.8399,58.1823,60.1038,59.4578,59.3567,60.6439,57.1025,57.6494,59.0323,58.3728,60.2932,61.2270,58.5029,58.1587,60.0863,59.8172,59.9491,59.9252,60.9912,61.6342,58.1375,57.5702,59.7010,59.0721,,,,,
500,61.1289,60.6958,58.9630,59.1532,59.7895,60.0240,58.7696,59.7493,60.3657,60.1612,59.3657,59.7504,58.4080,59.4034,60.1836,60.5840,60.8653,61.0960,58.9879,57.0524,61.4163,61.1796,59.4406,59.4569,58.3215,58.3411,60.9804,61.1181,59.1353,59.6131,59.1260,59.5960,61.4362,61.8258,60.8410,61.0493,57.9301,57.8783,60.3659,59.0416,61.1953,59.0416,58.5905,58.2029,61.1610,61.5195,59.8320,60.9917,60.2246,60.0978,59.9062,59.6730,62.8043,61.4572,58.9375,58.7831,60.3880,59.8100,60.6046,59.1624,59.9921,59.3448,61.1269,61.7626,59.6149,60.2248,57.8023,57.7824,59.1848,56.5708,59.1137,57.9953,59.6409,60.0668,61.7182,60.6104,59.5005,58.8444,59.5877,59.9767,60.5431,61.3936,60.0985,60.6998,60.4796,61.5656,60.7537,59.7203,59.4193,58.0226,58.9828,57.5947,62.6850,62.5366,60.9169,60.2666,61.3408,61.0761,60.0229,57.8914,61.1666,59.6235,58.2149,58.9097,58.1864,57.9894,60.4476,59.0289,58.1037,58.4377,59.0326,59.7957,59.3380,58.0378,58.3572,58.6907,58.7445,58.4766,61.7641,63.1936,60.4580,59.7158,58.6572,58.7504,60.4072,61.5248,58.9399,58.2783,60.2158,59.5684,59.4612,60.7471,57.2060,57.7522,59.1382,58.4767,60.4126,61.3422,58.6082,58.2638,60.1901,59.9242,60.0626,60.0282,61.0920,61.7451,58.2365,57.6673,59.8059,59.1719,,,,,
600,61.2705,60.8448,59.0807,59.2773,59.9282,60.1611,58.9039,59.8859,60.5091,60.2978,59.4971,59.8913,58.5326,59.5326,60.3306,60.7253,61.0013,61.2302,59.1201,57.1857,61.5804,61.3347,59.5694,59.5827,58.4423,58.4614,61.1139,61.2698,59.2726,59.7481,59.2520,59.7262,61.5893,61.9892,60.9807,61.1976,58.0526,58.0074,60.4921,59.1693,61.3392,59.1693,58.7200,58.3264,61.2911,61.6534,59.9601,61.1209,60.3568,60.2353,60.0391,59.8010,62.9647,61.6017,59.0583,58.9052,60.5105,59.9383,60.7464,59.2977,60.1340,59.4840,61.2683,61.8933,59.7393,60.3581,57.9306,57.9131,59.3046,56.6946,59.2304,58.1118,59.7695,60.1925,61.8530,60.7464,59.5725,58.9702,59.7156,60.0997,60.6793,61.5319,60.2268,60.8259,60.6212,61.7119,60.8848,59.8462,59.5402,58.1370,59.1039,57.7204,62.8417,62.6963,61.0493,60.3964,61.4773,61.2093,60.1508,58.0219,61.2927,59.7541,58.3380,59.0383,58.3109,58.1147,60.5816,59.1644,58.2312,58.5575,59.1638,59.9139,59.4664,58.1588,58.4912,58.8300,58.8693,58.5944,61.9057,63.3391,60.6005,59.8471,58.7851,58.8776,60.5541,61.6629,59.0608,58.3944,60.3511,59.7020,59.5876,60.8720,57.3310,57.8749,59.2662,58.6022,60.5567,61.4817,58.7353,58.3901,60.3153,60.0530,60.1995,60.1520,61.2140,61.8786,58.3563,57.7847,59.9323,59.2926,,,,,
700,61.4351,61.0179,59.2184,59.4224,60.0894,60.3204,59.0606,60.0453,60.6756,60.4564,59.6517,60.0556,58.6779,59.6829,60.5013,60.8900,61.1604,61.3868,59.2743,57.3407,61.7707,61.5147,59.7194,59.7295,58.5831,58.6016,61.2699,61.4465,59.4326,59.9049,59.3990,59.8786,61.7674,62.1796,61.1437,61.3706,58.1952,58.1577,60.6388,59.3181,61.5068,59.3181,58.8710,58.4705,61.4431,61.8100,60.1098,61.2722,60.5112,60.3961,60.1936,59.9504,63.1521,61.7701,59.1991,59.0476,60.6530,60.0876,60.9102,59.4549,60.2994,59.6457,61.4331,62.0461,59.8846,60.5127,58.0799,58.0650,59.4442,56.8386,59.3664,58.2477,59.9200,60.3395,62.0110,60.9047,59.6595,59.1165,59.8649,60.2435,60.8384,61.6935,60.3764,60.9733,60.7867,61.8813,61.0378,59.9929,59.6813,58.2704,59.2449,57.8665,63.0250,62.8836,61.2037,60.5478,61.6369,61.3645,60.2999,58.1739,61.4398,59.9064,58.4812,59.1878,58.4561,58.2607,60.7384,59.3223,58.3797,58.6974,59.3168,60.0518,59.6156,58.2999,58.6475,58.9926,59.0144,58.7318,62.0712,63.5095,60.7668,60.0008,58.9333,59.0254,60.7252,61.8245,59.2018,58.5299,60.5088,59.8576,59.7354,61.0180,57.4763,58.0187,59.4153,58.7487,60.7246,61.6445,58.8835,58.5373,60.4610,60.2026,60.3587,60.2955,61.3565,62.0335,58.4961,57.9215,60.0801,59.4331,,,,,
800,61.6214,61.2143,59.3753,59.5876,60.2722,60.5009,59.2387,60.2266,60.8641,60.6356,59.8272,60.2423,58.8433,59.8534,60.6948,61.0771,61.3419,61.5650,59.4496,57.5182,61.9857,61.7184,59.8897,59.8964,58.7429,58.7606,61.4478,61.6471,59.6144,60.0825,59.5667,60.0521,61.9694,62.3955,61.3292,61.5671,58.3569,58.3282,60.8054,59.4872,61.6971,59.4872,59.0428,58.6344,61.6162,61.9884,60.2806,61.4450,60.6871,60.5794,60.3687,60.1203,63.3652,61.9618,59.3590,59.2093,60.8145,60.2565,61.0942,59.6330,60.4871,59.8286,61.6203,62.2205,60.0499,60.6875,58.2495,58.2377,59.6029,57.0019,59.5207,58.4019,60.0918,60.5070,62.1918,61.0842,59.7625,59.2824,60.0349,60.4075,61.0195,61.8775,60.5464,61.1418,60.9754,62.0723,61.2119,60.1595,59.8418,58.4220,59.4050,58.0322,63.2343,63.0976,61.3792,60.7200,61.8189,61.5406,60.4690,58.3464,61.6067,60.0793,58.6440,59.3571,58.6213,58.4264,60.9170,59.5016,58.5483,58.8564,59.4907,60.2088,59.7847,58.4608,58.8252,59.1774,59.1788,58.8876,62.2601,63.7038,60.9560,60.1761,59.1006,59.1928,60.9197,62.0087,59.3622,58.6842,60.6878,60.0343,59.9037,61.1844,57.6409,58.1811,59.5846,58.9154,60.9152,61.8299,59.0517,58.7045,60.6260,60.3720,60.5393,60.4574,61.5185,62.2085,58.6552,58.0768,60.2482,59.5930,,,,,
900,61.8282,61.4324,59.5508,59.7722,60.4752,60.7013,59.4371,60.4288,61.0732,60.8342,60.0239,60.4504,59.0277,60.0429,60.9095,61.2858,61.5448,61.7638,59.6451,57.7165,62.2236,61.9442,60.0792,60.0826,58.9208,58.9375,61.6468,61.8703,59.8168,60.2795,59.7541,60.2460,62.1938,62.6357,61.5363,61.7864,58.5366,58.5182,60.9905,59.6756,61.9088,59.6756,59.2343,58.8171,61.8096,62.1878,60.4717,61.6388,60.8837,60.7846,60.5633,60.3098,63.6030,62.1755,59.5377,59.3895,60.9937,60.4443,61.2968,59.8308,60.6962,60.0315,61.8290,62.4157,60.2342,60.8813,58.4383,58.4297,59.7797,57.1837,59.6923,58.5740,60.2842,60.6942,62.3946,61.2836,59.8824,59.4670,60.2249,60.5909,61.2215,62.0832,60.7359,61.3303,61.1863,62.2833,61.4061,60.3451,60.0209,58.5911,59.5833,58.2163,63.4688,63.3379,61.5749,60.9121,62.0225,61.7365,60.6571,58.5383,61.7927,60.2720,58.8255,59.5452,58.8056,58.6110,61.1167,59.7014,58.7357,59.0338,59.6843,60.3839,59.9724,58.6393,59.0234,59.3835,59.3614,59.0608,62.4712,63.9215,61.1672,60.3721,59.2858,59.3785,61.1363,62.2147,59.5409,58.8563,60.8874,60.2309,60.0917,61.3705,57.8234,58.3609,59.7731,59.1011,61.1273,62.0369,59.2389,58.8898,60.8094,60.5599,60.7399,60.6364,61.6993,62.4022,58.8328,58.2496,60.4360,59.7712,,,,,
1000,62.0541,61.6712,59.7442,59.9754,60.6974,60.9205,59.6549,60.6507,61.3016,61.0509,60.2409,60.6786,59.2303,60.2504,61.1443,61.5148,61.7686,61.9824,59.8597,57.9348,62.4828,62.1909,60.2870,60.2874,59.1158,59.1313,61.8660,62.1150,60.0388,60.4947,59.9602,60.4595,62.4396,62.8989,61.7640,62.0271,58.7333,58.7261,61.1930,59.8823,62.1411,59.8823,59.4448,59.0179,62.0224,62.4074,60.6823,61.8529,61.1003,61.0108,60.7762,60.5181,63.8644,62.4102,59.7334,59.5872,61.1897,60.6496,61.5159,60.0471,60.9253,60.2530,62.0581,62.6308,60.4368,61.0928,58.6452,58.6400,59.9739,57.3828,59.8802,58.7628,60.4967,60.9005,62.6190,61.5017,60.0199,59.6693,60.4339,60.7931,61.4434,62.3096,60.9439,61.5384,61.4187,62.5125,61.6196,60.5484,60.2177,58.7767,59.7786,58.4177,63.7278,63.6038,61.7897,61.1229,62.2469,61.9510,60.8631,58.7487,61.9966,60.4835,59.0247,59.7509,59.0079,58.8131,61.3367,59.9205,58.9410,59.2288,59.8967,60.5764,60.1777,58.8351,59.2409,59.6096,59.5611,59.2506,62.7039,64.1617,61.3993,60.5880,59.4875,59.5814,61.3735,62.4418,59.7371,59.0455,61.1063,60.4465,60.2986,61.5755,58.0229,58.5593,59.9798,59.3050,61.3599,62.2646,59.4441,59.0926,61.0101,60.7651,60.9593,60.8310,61.8980,62.6133,59.0281,58.4395,60.6424,59.9666,,,,,
1100,62.2979,61.9291,59.9547,60.1963,60.9376,61.1572,59.8909,60.8914,61.5477,61.2842,60.4773,60.9258,59.4500,60.4746,61.3977,61.7631,62.0124,62.2196,60.0924,58.1720,62.7614,62.4567,60.5121,60.5099,59.3269,59.3410,62.1045,62.3800,60.2790,60.7267,60.1841,60.6915,62.7053,63.1836,62.0114,62.2885,58.9459,58.9516,61.4117,60.1063,62.3927,60.1063,59.6732,59.2358,62.2538,62.6463,60.9117,62.0866,61.3358,61.2572,61.0062,60.7442,64.1482,62.6647,59.9455,59.8015,61.4013,60.8713,61.7498,60.2807,61.1735,60.4919,62.3067,62.8652,60.6567,61.3206,58.8694,58.8674,60.1844,57.5984,60.0835,58.9673,60.7285,61.1250,62.8642,61.7371,60.1758,59.8877,60.6612,61.0132,61.6842,62.5560,61.1697,61.7651,61.6717,62.7582,61.8514,60.7685,60.4313,58.9779,59.9899,58.6352,64.0106,63.8947,62.0226,61.3517,62.4912,62.1830,61.0857,58.9763,62.2174,60.7127,59.2404,59.9729,59.2274,59.0321,61.5763,60.1582,59.1630,59.4403,60.1267,60.7852,60.3993,59.0477,59.4769,59.8548,59.7766,59.4560,62.9573,64.4237,61.6515,60.8231,59.7045,59.8002,61.6311,62.6890,59.9499,59.2509,61.3435,60.6798,60.5236,61.7986,58.2382,58.7730,60.2034,59.5262,61.6118,62.5123,59.6661,59.3116,61.2270,60.9865,61.1964,61.0398,62.1137,62.8403,59.2404,58.6452,60.8667,60.1785,,,,,
