,001-L,001-R,002-L,002-R,003-L,003-R,004-L,004-R,005-L,005-R,006-L,006-R,007-L,007-R,008-L,008-R,009-L,009-R,010-L,010-R,011-L,011-R,012-L,012-R,013-L,013-R,014-L,014-R,015-L,015-R,016-L,016-R,017-L,017-R,018-L,018-R,019-L,019-R,020-L,020-R,021-L,021-R,022-L,022-R,023-L,023-R,024-L,024-R,025-L,025-R,026-L,026-R,027-L,027-R,028-L,028-R,029-L,029-R,030-L,030-R,031-L,031-R,032-L,032-R,033-L,033-R,034-L,034-R,035-L,035-R,036-L,036-R,037-L,037-R,038-L,038-R,039-L,039-R,040-L,040-R,041-L,041-R,042-L,042-R,043-L,043-R,044-L,044-R,045-L,045-R,046-L,046-R,047-L,047-R,048-L,048-R,049-L,049-R,050-L,050-R,051-L,051-R,052-L,052-R,053-L,053-R,054-L,054-R,055-L,055-R,056-L,056-R,057-L,057-R,058-L,058-R,059-L,059-R,060-L,060-R,061-L,061-R,062-L,062-R,063-L,063-R,064-L,064-R,065-L,065-R,066-L,066-R,067-L,067-R,068-L,068-R,069-L,069-R,070-L,070-R,071-L,071-R,072-L,072-R,073-L,073-R,074-L,074-R,075-L,075-R
P1-F,5400,4600,5100,4900,4800,4800,4400,4400,4800,5000,4500,4600,5300,5500,4800,4400,4400,4700,4400,4400,4400,4400,4800,4600,5100,5000,4600,4300,4600,4800,5000,4700,4700,4400,4200,4100,5300,5100,5100,4900,4300,4900,4700,4800,4500,4400,4400,4300,4800,4200,5100,4900,4100,4300,4700,4800,5000,4900,5400,5100,4800,4900,4200,4200,4400,4400,4700,4700,5400,5000,5300,5600,4200,4500,4100,4800,4700,5400,4500,4600,4300,4100,4700,4700,4200,4500,4700,4600,5300,5400,5600,5600,3800,3600,4600,4900,4300,4600,5100,5200,4800,4500,5200,5200,4800,5000,4100,4200,5500,5000,4800,5200,4800,4900,4600,4700,5100,5100,4100,3900,4100,4200,5400,5400,4300,4200,4800,4900,4700,4700,4500,4500,5000,4900,5300,4700,4000,3900,5100,5100,4900,4600,5000,4900,4900,5100,4500,4700,4600,4600
P1-M,74.80,74.26,73.54,72.70,73.12,73.21,70.50,71.72,72.38,73.30,70.88,70.40,71.88,74.54,71.23,73.10,75.44,74.93,69.19,67.39,72.96,74.00,73.45,72.78,71.78,70.23,74.47,74.43,70.97,72.08,72.92,73.13,74.82,73.53,73.70,73.98,70.25,70.72,72.38,72.16,75.35,72.16,71.71,72.07,75.49,76.02,73.86,74.46,73.59,72.04,74.89,74.73,76.23,73.79,71.78,72.70,73.37,72.27,72.12,72.15,72.11,70.15,76.18,77.41,71.77,71.51,70.38,69.18,74.35,70.07,73.44,72.89,72.45,73.08,74.58,72.10,70.42,72.91,72.37,74.08,71.97,75.15,76.43,77.18,72.93,71.84,75.25,72.54,74.04,72.62,72.09,70.22,76.84,77.04,74.02,74.88,73.50,74.13,71.75,71.66,73.66,71.44,70.80,72.04,70.92,70.22,74.77,72.94,70.72,71.79,71.94,73.45,71.16,69.71,69.82,69.87,70.30,70.65,74.33,75.87,72.88,72.06,72.50,71.17,73.08,74.40,71.13,70.92,72.56,71.50,72.50,73.93,68.95,68.53,72.59,71.02,72.28,73.36,71.50,71.04,72.54,71.38,72.15,71.26,75.38,74.27,71.78,70.36,72.93,70.51
N1-F,5800,8100,9500,8700,7700,7500,6300,5600,7600,8400,6100,6200,9100,8900,8400,7700,8400,8700,7400,7600,6900,7300,6900,6500,8500,8600,7800,7400,7300,6700,8400,7900,7500,7300,6100,7400,6200,9400,8800,8500,6500,8500,9000,9000,8000,8100,6600,6500,8200,7800,8400,8000,5700,5700,7000,7400,8400,8400,8100,8400,8100,8100,8400,7900,6400,7400,8300,8400,9600,8500,8500,6100,7800,7700,8300,8100,8200,8500,8100,8200,8000,7800,8500,9200,6500,6500,7700,7500,9600,9900,8700,9500,6300,6100,8400,8200,7600,7700,6200,8400,5800,5800,8600,8700,8100,8300,7500,6800,9600,8500,8500,9900,7500,7500,7800,7600,8200,8100,5800,7100,7500,7600,8400,8400,7800,7600,7200,7100,6300,6000,6400,8000,7000,7000,9500,8400,5800,6000,8600,8100,7800,7700,9100,8000,9400,9600,7000,6700,8800,5900
N1-M,74.77,66.36,67.17,64.81,65.49,63.76,68.68,70.13,69.50,70.16,69.13,69.06,65.36,66.21,68.60,69.18,66.58,65.83,65.76,66.97,70.28,70.49,69.95,69.67,66.24,67.27,67.48,71.53,63.75,67.41,66.21,63.71,69.11,67.91,70.68,67.71,69.25,62.76,67.88,65.76,70.30,65.76,63.82,60.75,71.13,67.82,67.72,68.23,65.81,66.03,64.06,62.81,72.35,71.02,63.42,63.22,66.75,66.66,66.45,70.25,61.73,66.93,62.70,65.53,65.94,67.56,65.09,63.98,60.55,58.41,64.83,72.58,66.61,67.31,68.77,65.31,68.02,69.69,69.47,68.64,70.57,67.79,64.87,61.41,69.14,67.87,67.87,70.98,65.69,61.47,67.18,67.41,69.42,67.71,64.27,51.78,69.23,68.22,71.06,66.68,73.15,69.64,64.66,63.29,64.56,63.17,65.33,64.20,64.75,64.78,62.88,58.00,63.58,65.78,65.66,65.82,64.24,62.94,71.08,70.26,69.02,66.09,66.09,70.21,65.77,65.48,68.67,68.42,70.59,69.68,69.21,67.52,66.92,67.56,62.83,61.37,66.08,66.28,67.68,66.23,69.97,71.11,67.84,65.22,65.24,63.23,66.14,66.96,67.99,69.13
P2-F,6800,9900,11300,11100,9800,9200,8000,6200,10100,10500,10900,10900,11100,11100,9700,9500,10500,10700,10600,11100,8600,8500,7700,10200,10500,10900,9500,8900,9500,10200,11000,9900,9100,9200,9600,9300,7200,10500,11700,10600,8800,10600,11300,11100,10000,9700,9900,10200,10700,10100,10200,9700,8400,8500,10200,9900,10900,10700,10300,10000,10300,10100,11200,11400,8600,10000,9700,10000,11900,10100,11000,6500,10100,10500,10500,10000,10000,12300,9400,9600,10600,10200,10200,11400,9200,9500,9800,10000,11900,11700,11100,11300,10700,11000,10900,11000,9400,9300,10600,10400,9700,8600,11000,10600,10100,10200,12200,12800,12400,11200,10800,11700,10300,10000,9700,9100,11000,10900,6200,11700,9300,9000,10900,11100,10000,9300,11400,11100,10200,9700,9600,9500,10300,10500,11600,11400,9300,9500,10800,10000,9800,9800,10500,9900,12000,11700,9600,10100,11900,11400
P2-M,76.22,75.39,73.58,75.56,73.98,72.59,64.68,70.26,75.33,73.99,71.26,70.92,72.51,73.81,69.25,75.56,75.56,73.99,73.63,71.35,73.95,74.98,70.68,74.41,69.06,73.54,75.04,75.43,72.34,75.69,69.80,70.53,74.37,75.41,76.27,75.61,70.27,63.94,77.49,72.19,75.78,72.19,68.63,70.58,76.15,73.20,75.50,78.10,75.43,73.08,73.46,73.02,78.90,76.21,72.72,74.11,75.22,75.49,74.25,74.04,70.40,70.01,68.91,74.00,75.09,77.04,66.24,68.00,67.93,65.09,73.58,72.65,72.78,73.81,75.69,73.25,71.09,77.30,72.45,72.63,73.96,75.16,69.00,65.33,72.91,73.36,77.83,75.23,71.19,70.43,70.07,69.52,81.47,72.40,72.79,79.68,74.00,73.66,74.63,70.79,78.58,77.55,71.30,70.54,72.50,69.71,66.96,67.40,70.00,72.78,73.02,74.63,71.43,69.87,67.59,68.28,69.79,71.33,71.21,75.70,76.15,74.29,69.87,74.24,73.16,74.33,72.02,71.94,74.30,72.93,72.76,74.35,68.05,69.35,72.04,71.38,75.96,76.05,73.70,72.91,75.17,76.12,69.99,69.83,73.27,76.64,74.26,73.08,72.87,74.10
N2-F,9800,11300,13700,13100,12800,10600,9900,9500,13600,12500,13300,12700,12500,12600,11000,10500,13900,14000,14600,13700,9900,10200,12200,12100,12000,12700,10900,11100,10900,11300,12900,10800,9900,10500,10500,10000,13500,13100,12800,12200,9600,11800,12900,12700,11500,10900,15000,15400,12300,12300,12000,11700,12800,12300,12300,12200,15000,12100,13300,16600,13400,11400,13700,14500,14400,13900,12400,12600,13400,11300,12300,9200,12000,12100,11900,13100,13100,14500,11900,11500,13000,12700,12200,12500,13900,12900,11200,11700,14100,14600,12700,13700,12800,12800,14600,12900,11200,11200,12400,12800,12000,12000,13200,12900,11600,11500,14000,14500,15100,16600,13500,14400,11800,12400,11400,10700,12900,15800,15200,13900,13800,13700,12100,13300,11800,11000,14700,12200,12300,12000,13200,11100,12200,12500,13200,13400,12900,14000,12900,11800,10900,11500,11600,11300,16500,16400,12000,14500,14300,14200
N2-M,69.68,67.58,65.66,60.55,43.70,66.60,69.59,73.10,42.21,56.21,60.81,59.15,56.16,63.74,60.33,72.95,68.43,61.42,65.86,59.18,60.92,58.10,69.83,67.07,33.21,66.13,66.99,65.09,68.02,69.63,63.78,65.12,71.22,71.92,70.45,72.99,55.98,58.56,73.83,68.10,74.64,68.03,50.51,36.68,72.65,69.99,29.88,63.62,70.67,67.06,64.38,51.78,48.17,60.88,65.45,72.76,56.44,69.52,47.16,52.36,41.74,63.55,37.16,55.64,63.17,69.06,63.57,58.46,47.83,58.73,66.65,64.37,62.28,66.95,67.73,63.04,60.00,66.07,67.83,66.41,64.55,54.70,66.60,57.14,58.47,50.16,43.45,66.24,56.52,53.37,62.17,40.29,47.25,66.26,52.90,68.35,69.32,70.88,56.80,40.33,65.81,67.45,56.79,58.57,61.41,66.07,55.00,48.36,38.58,50.79,61.66,65.84,69.01,69.62,62.30,65.51,66.74,52.78,61.08,71.21,62.53,57.97,56.54,59.58,65.07,70.18,63.56,65.84,68.46,68.49,68.43,71.64,59.30,62.64,67.74,61.62,51.57,40.29,45.73,63.27,70.45,70.37,68.30,66.52,59.74,60.30,64.64,60.45,65.95,66.78
P3-F,11200,11600,15300,14900,14300,12000,10900,10800,15300,14600,15800,15000,14200,14900,13400,11400,16000,15200,16300,14900,11300,11100,13400,13900,14600,14200,12700,12100,11100,12000,14800,13800,10700,10800,12400,11300,15600,15700,13500,13500,10500,12200,16200,14400,12700,12600,16500,16800,13700,13900,13200,13400,14300,14400,16300,15900,16200,12600,17400,17300,16400,12900,15700,16500,16800,17200,16300,15900,14700,13400,14800,12700,13300,13700,14200,16700,16400,16400,13700,13900,15600,15000,13400,14000,15300,14800,12600,12300,17500,19000,15000,16200,13500,13900,15900,14200,13300,12900,15000,14700,13700,13700,14700,13000,13000,13100,15900,16500,17800,18600,15300,16700,13200,15100,13800,12400,14500,17700,16200,16900,16000,15900,15000,15700,12900,12600,16500,13700,13900,13400,13800,12300,13700,14100,15700,14900,15400,17200,15300,14100,13300,12600,14400,13400,18000,17900,15800,17300,15900,17500
P3-M,71.97,67.92,68.57,67.80,70.79,72.14,67.71,69.23,67.02,67.12,71.51,71.85,64.16,74.29,70.39,74.20,71.26,72.96,67.42,61.60,74.69,72.23,74.04,72.55,70.79,68.87,74.11,75.11,68.77,70.26,70.26,74.30,75.11,72.07,79.13,79.92,64.46,76.11,74.48,54.49,76.68,68.10,79.83,70.18,74.76,77.71,60.72,64.56,73.83,69.83,72.84,74.15,70.06,67.15,70.54,71.29,60.26,69.80,64.70,52.61,78.86,67.70,63.19,67.82,70.14,71.26,76.08,78.73,68.87,66.87,70.69,68.96,69.02,70.43,74.11,69.06,68.43,69.85,70.70,73.11,68.17,76.17,70.71,70.95,70.31,73.58,74.50,67.09,76.43,74.89,71.94,67.73,52.31,71.90,60.74,72.38,73.59,73.04,72.43,66.75,68.53,61.35,65.54,58.57,67.25,68.76,63.57,65.84,64.22,71.70,70.58,72.18,69.26,61.97,68.10,69.54,68.67,69.81,63.16,75.40,72.20,67.22,74.49,77.49,69.12,73.76,66.90,68.21,72.20,69.56,69.05,72.07,61.38,66.17,71.81,70.44,60.68,72.56,74.73,69.97,75.98,72.89,75.99,72.63,67.55,74.54,69.90,73.52,68.71,70.04
